"tilltalsnamn","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Helge ",..,..,..,..,..,..,10,29,21,14,24
"Helmer",18,24,11,32,24,32,32,41,48,47,43
"Henning",16,23,26,20,32,35,42,46,42,41,59
"Henric",12,..,..,..,..,..,..,..,..,..,..
"Henrik",101,92,86,72,47,36,40,28,40,26,29
"Henri ",..,..,..,..,..,..,..,..,10,..,10
"Henry",29,39,44,63,74,78,110,107,164,169,213
"Herbert",..,..,..,..,..,..,..,..,..,..,11
"Herman",92,103,93,109,102,104,95,80,114,59,81
"Hilding",11,13,11,18,22,19,33,27,31,37,29
"Hilmer ",..,..,..,..,12,10,12,14,15,15,17
"Hjalmar",90,85,89,93,125,148,182,159,143,173,164
"Holger",24,19,28,33,26,34,40,67,54,71,66
"Hubert ",..,..,..,..,..,..,..,13,10,..,..
"Hugo",873,945,964,920,885,878,873,863,778,748,696
"Hussein",23,31,33,30,33,39,36,51,46,43,35
"Håkan",..,..,..,..,..,..,..,..,..,..,..
"Ian",32,27,32,39,39,43,57,67,61,64,63
"Ibrahim",55,46,48,53,67,48,69,72,97,76,89
"Idris",..,..,..,..,..,..,12,..,..,..,11
"Igor",..,..,..,12,..,..,12,10,..,11,11
"Ilias",..,..,11,..,15,11,12,15,11,..,11
"Ilon",..,..,..,..,..,..,..,10,10,10,..
"Ilyas ",..,..,..,10,13,13,..,13,28,24,28
"Imran ",..,..,..,..,..,12,10,10,25,22,34
"Ingemar",..,..,..,..,..,..,10,15,14,..,..
"Ingmar ",..,..,..,..,..,..,..,..,14,..,..
"Ingo ",..,..,..,..,..,..,..,10,..,..,..
"Isaac",49,58,48,49,45,35,37,33,45,45,35
"Isac",285,300,256,236,183,146,143,105,106,96,107
"Isak",623,626,593,520,531,485,494,386,366,349,331
"Isa",..,..,..,..,..,..,..,..,..,..,12
"Ishak ",..,..,..,..,..,..,15,17,12,11,15
"Isidor ",12,10,..,10,10,15,12,14,13,17,14
"Ismael",..,..,..,..,11,..,..,..,..,..,..
"Ismail",13,..,20,11,22,19,26,27,20,26,41
"Ivan",35,47,38,44,47,55,64,35,50,52,64
"Ivar",81,87,85,95,112,112,129,145,143,195,189
"Izak",10,..,..,..,..,..,10,..,..,..,..
"Jack",84,107,182,201,226,232,249,256,310,320,303
