"tilltalsnamn","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Fredric",..,..,..,..,..,..,..,..,..,..
"Fredrik",107,103,63,54,38,42,37,33,28,20
"Frej",12,12,13,16,13,15,21,27,30,39
"Frode ",..,..,12,..,14,21,10,..,..,13
"Gabriel",375,353,317,391,399,375,341,322,347,359
"George",16,17,13,17,11,15,..,21,22,17
"Georg",..,..,13,10,..,13,12,19,11,..
"Gideon ",..,..,..,13,10,10,10,11,..,..
"Gillis",..,..,..,..,..,..,11,16,..,16
"Gordon",..,..,..,10,..,..,..,..,..,..
"Gottfrid",15,..,..,..,..,10,13,15,12,15
"Grim ",..,..,12,..,..,14,12,13,20,12
"Gunnar",14,21,21,27,32,33,30,23,55,70
"Gustaf",118,90,110,94,67,84,75,73,57,63
"Gustav",614,579,631,579,527,532,449,462,455,417
"Gusten ",..,..,..,13,10,18,19,21,20,13
"Gösta ",..,..,..,17,17,28,14,25,16,22
"Hadi",19,19,18,20,23,11,19,12,14,..
"Haidar",..,..,..,..,..,..,..,11,..,..
"Hampus",411,426,337,315,288,245,209,208,154,141
"Hamza",19,40,33,34,52,52,50,46,44,64
"Hanad",..,..,..,..,..,..,11,..,..,..
"Hannes",228,248,233,172,165,162,157,139,112,129
"Hans",..,..,..,..,..,..,..,10,..,..
"Harald",35,31,44,39,32,51,30,34,41,37
"Haris",13,14,12,10,..,11,..,12,..,12
"Harley",..,..,..,..,..,..,..,13,12,19
"Harry",48,64,92,125,156,209,246,274,272,379
"Harun",12,..,..,..,11,..,11,..,13,11
"Hasan",..,..,12,10,10,..,..,12,11,11
"Hassan",24,38,35,27,46,34,44,40,36,46
"Hector ",19,13,17,23,24,23,20,31,22,34
"Hektor",12,12,10,11,..,10,15,14,10,17
"Helge ",..,..,..,..,..,10,29,21,14,24
"Helmer",24,11,32,24,32,32,41,48,47,43
"Henning",23,26,20,32,35,42,46,42,41,59
"Henric",..,..,..,..,..,..,..,..,..,..
"Henrik",92,86,72,47,36,40,28,40,26,29
"Henri ",..,..,..,..,..,..,..,10,..,10
"Henry",39,44,63,74,78,110,107,164,169,213
"Herbert",..,..,..,..,..,..,..,..,..,11
"Herman",103,93,109,102,104,95,80,114,59,81
"Hilding",13,11,18,22,19,33,27,31,37,29
"Hilmer ",..,..,..,12,10,12,14,15,15,17
"Hjalmar",85,89,93,125,148,182,159,143,173,164
"Holger",19,28,33,26,34,40,67,54,71,66
"Hubert ",..,..,..,..,..,..,13,10,..,..
"Hugo",945,964,920,885,878,873,863,778,748,696
"Hussein",31,33,30,33,39,36,51,46,43,35
"Håkan",..,..,..,..,..,..,..,..,..,..
"Ian",27,32,39,39,43,57,67,61,64,63
"Ibrahim",46,48,53,67,48,69,72,97,76,89
"Idris",..,..,..,..,..,12,..,..,..,11
"Igor",..,..,12,..,..,12,10,..,11,11
"Ilias",..,11,..,15,11,12,15,11,..,11
"Ilon",..,..,..,..,..,..,10,10,10,..
"Ilyas ",..,..,10,13,13,..,13,28,24,28
"Imran ",..,..,..,..,12,10,10,25,22,34
"Ingemar",..,..,..,..,..,10,15,14,..,..
"Ingmar ",..,..,..,..,..,..,..,14,..,..
"Ingo ",..,..,..,..,..,..,10,..,..,..
"Isaac",58,48,49,45,35,37,33,45,45,35
"Isac",300,256,236,183,146,143,105,106,96,107
"Isak",626,593,520,531,485,494,386,366,349,331
"Isa",..,..,..,..,..,..,..,..,..,12
"Ishak ",..,..,..,..,..,15,17,12,11,15
"Isidor ",10,..,10,10,15,12,14,13,17,14
"Ismael",..,..,..,11,..,..,..,..,..,..
"Ismail",..,20,11,22,19,26,27,20,26,41
"Ivan",47,38,44,47,55,64,35,50,52,64
"Ivar",87,85,95,112,112,129,145,143,195,189
"Izak",..,..,..,..,..,10,..,..,..,..
"Jack",107,182,201,226,232,249,256,310,320,303
"Jackson",..,..,..,..,..,..,..,..,11,10
"Jacob",255,239,264,195,196,200,158,165,161,152
"Jake ",..,..,..,..,..,..,..,12,10,..
"Jakob",221,241,231,197,167,175,138,155,124,107
"Jakub ",..,..,..,..,11,10,14,16,10,16
"Jamal",..,..,..,..,..,..,..,11,10,..
"James",17,31,37,30,33,52,51,48,67,58
"Jamie",21,28,22,28,44,62,51,82,86,114
"Jan",13,13,16,11,17,17,17,24,21,27
